cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#1#,0.0,0.0,0.0,0.0,0.0,0.0,0.7647367877782423,0.0,0.0,0.0,0.0,2.6816670919730396e-07,0.0,0.0,0.0,-2.9200255732368044e-07,0.0,0.0,0.0,0.0,-1.7076238702009578e-08,0.0,-1.409135643154518e-09,0.0,-0.00011954625357285596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013378231185924155,0.0,0.0,0.0,0.0,2.6816670919730396e-07,0.0,0.0,0.0,-2.9200255732368044e-07,0.0,0.0,0.0,0.0,-0.00149410258147103,0.0,-2.101021243943386e-12,0.0,-0.00011954625357285596,0.0,0.0013380912853016129,-0.0016139408397022308,-0.00027584955440061796
#2#,0.0,0.0,0.0,0.0,320.61607141226034,657.3452449592969,0.0,0.0,0.0,3060.0331269164003,0.0,2.8282563231237116e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09041286825787978,-4.880943614923152e-05,0.0,0.0,0.0,0.0,0.0,0.013036111598711797,0.030961414605801908,0.0,0.0,0.0,4.562509392232353,0.0,2.8282563231237116e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09041286825787978,-4.880943614923152e-05,0.0,4.6065352010000975,-0.090461677694029,4.516073523306068
#3#,0.0,0.0,0.0,0.0,475.0,0.0,18.001551588646684,5.483261757725379e-06,1.0,10.20340787514981,0.285618663925878,0.7732279359719836,0.0004018279691772046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.082155078946632e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.019313295749999997,0.0,0.031491739734128096,0.47976347075393977,2.428839e-07,0.015213281141848367,0.285618663925878,0.7732279359719836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.082155078946632e-06,0.0,0.0,1.604628630161678,-4.082155078946632e-06,1.604624548006599
#4#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009784190521127292,4.177269568564395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0837535097470814e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4588228067000791e-06,4.177269568564395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0837535097470814e-05,0.0,0.0,4.177271027387201,-1.0837535097470814e-05,4.177260189852103
#5#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808716662616614e-05,0.0,10.181955069077453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002662981400101222,0.0,0.0,-0.07212722967691942,0.0,-1.1866503873642873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5825547311230326,0.0,0.015181295007994483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.658593830417497e-06,0.0,0.0,-0.00010754169944828685,0.0,-1.1866503873642873,0.0,1.5977360261310272,-1.186762587657566,0.41097343847346113
#6#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0149869819192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1806709031262911e-06,-5.932071584739586e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.322917966177722e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1806709031262911e-06,-5.932071584739586e-07,0.0,7.322917966177722e-07,-1.7738780616002497e-06,-1.0415862649824774e-06
#7#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#8#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#9#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5990430948843963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.704700786848249e-08,0.0,0.0,-7.695250872409029e-08,-2.447707216963216e-06,-1.0518744012298755e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023841732544726347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008491225000460744,0.0,0.0,-7.695250872409029e-08,-2.447707216963216e-06,0.0,0.0023841732544726347,-0.008493749660186432,-0.006109576405713797
#10#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
