cdp id,hETH coll,hUSDT coll,hUSDC coll,hWBTC coll,WOWO coll,EARLY coll,LSULP coll,xwBTC coll,HUG coll,XRD coll,xUSDT coll,xUSDC coll,xETH coll,hETH loan,hUSDT loan,hUSDC loan,hWBTC loan,WOWO loan,EARLY loan,LSULP loan,xwBTC loan,HUG loan,XRD loan,xUSDT loan,xUSDC loan,xETH loan,hETH coll value,hUSDT coll value,hUSDC coll value,hWBTC coll value,WOWO coll value,EARLY coll value,LSULP coll value,xwBTC coll value,HUG coll value,XRD coll value,xUSDT coll value,xUSDC coll value,xETH coll value,hETH loan value,hUSDT loan value,hUSDC loan value,hWBTC loan value,WOWO loan value,EARLY loan value,LSULP loan value,xwBTC loan value,HUG loan value,XRD loan value,xUSDT loan value,xUSDC loan value,xETH loan value,coll total value,loan total value,net value
#1#,0.0,0.0,0.0,0.0,0.0,0.0,0.7647769036130125,0.0,0.0,0.0,0.0,5.535394791636871e-07,0.0,0.0,0.0,-2.971020249680731e-07,0.0,0.0,0.0,0.0,-1.8172487380200458e-08,0.0,-1.468564356198679e-09,0.0,-0.00024993101140791986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014923015242510353,0.0,0.0,0.0,0.0,5.535394791636871e-07,0.0,0.0,0.0,-2.971020249680731e-07,0.0,0.0,0.0,0.0,-0.0012682033768020493,0.0,-2.4231311877278203e-12,0.0,-0.00024993101140791986,0.0,0.001492855063730199,-0.0015184314926580684,-2.557642892786938e-05
#2#,0.0,0.0,0.0,0.0,320.61607141226034,657.3452449592969,0.0,0.0,0.0,3107.609071059006,0.0,5.8379786839665016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09078319209682001,-0.00010204411579985813,0.0,0.0,0.0,0.0,0.0,0.017880758302661757,0.04643256739556738,0.0,0.0,0.0,5.12755496724736,0.0,5.8379786839665016e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09078319209682001,-0.00010204411579985813,0.0,5.191926672732429,-0.09088523621261986,5.101041436519809
#3#,0.0,0.0,0.0,0.0,475.0,0.0,18.002495896911537,5.504413364220621e-06,1.0,10.362045622846852,0.28624426447426654,1.5960675739128907,0.0004018295377891847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.098875257933467e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.026490749999999997,0.0,0.035128090218684516,0.38413649544886447,3.2835e-07,0.017097375277697304,0.28624426447426654,1.5960675739128907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.098875257933467e-06,0.0,0.0,2.3451648776824037,-4.098875257933467e-06,2.345160778807146
#4#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009936310476175896,4.186419188189879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0881924769862332e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6394912285690228e-06,4.186419188189879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0881924769862332e-05,0.0,0.0,4.186420827681108,-1.0881924769862332e-05,4.1864099457563375
#5#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8156937621605405e-05,0.0,10.340259278717529,0.0,50.01354007765189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00266522796834012,0.0,0.0,-0.07516911457704463,0.0,-2.480886875478777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2671182057989763,0.0,0.01706142780988392,0.0,50.01354007765189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.200632682342393e-06,0.0,0.0,-0.00012402903905212365,0.0,-2.480886875478777,0.0,51.29771971126075,-2.4810161051505113,48.81670360611024
#6#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0149869819192308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1855068362162985e-06,-1.2401966658157042e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.899709755131795e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1855068362162985e-06,-1.2401966658157042e-06,0.0,9.899709755131795e-07,-2.4257035020320027e-06,-1.4357325265188233e-06
#7#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#8#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#9#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.623904258737384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0327716522073852e-07,0.0,0.0,-7.726770001263016e-08,-5.1173325979074125e-06,-1.0708205673860639e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026794420269166835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007207403529259679,0.0,0.0,-7.726770001263016e-08,-5.1173325979074125e-06,0.0,0.0026794420269166835,-0.007212598129557599,-0.004533156102640915
#10#,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
